No,チャプター名,カテゴリ名,親カテゴリ名,ナレッジタイトル（ノウハウ名）,ナレッジ概要,チェックアイテム名,検索手順,検索実施,移植要因,難易度,難易度詳細,目視確認,ヒアリング確認,検索対象ファイル,検索キーワード１,検索キーワード２,検索モジュール,ライン数算出,非算出理由,不明/TODO,ライン数,ライン数根拠,調査内容
41,,BFILENAME,FUNC MIGRATION,knowledge-41,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
42,,BFILENAME (FNC-004-001),BFILENAME,knowledge-42,<ns3:para>BFILENAME\s*\( pattern関数は未サポートです。</ns3:para>,item-27,BFILENAME\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,BFILENAME\s*\(,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,BFILENAME\s*\(
42,,BFILENAME (FNC-004-001),BFILENAME,knowledge-42,,item-28,BFILENAME\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,BFILENAME\s*\(
42,,BFILENAME (FNC-004-001),BFILENAME,knowledge-42,,item-29,BFILENAME\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,BFILENAME\s*\(,,,TRUE,,TODO:SE 手動算出,,,BFILENAME\s*\(
43,,BITAND,FUNC MIGRATION,knowledge-43,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
44,,BITAND (FNC-005-001),BITAND,knowledge-44,<ns3:para>BITAND\s*\( pattern関数は未サポートです。</ns3:para>,item-30,BITAND\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,BITAND\s*\(,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,BITAND\s*\(
44,,BITAND (FNC-005-001),BITAND,knowledge-44,,item-31,BITAND\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,BITAND\s*\(
44,,BITAND (FNC-005-001),BITAND,knowledge-44,,item-32,BITAND\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,BITAND\s*\(,,,TRUE,,TODO:SE 手動算出,,,BITAND\s*\(
45,,CHARTOROWID,FUNC MIGRATION,knowledge-45,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
46,,CHARTOROWID (FNC-006-001),CHARTOROWID,knowledge-46,<ns3:para>CHARTOROWID\s*\( pattern関数は未サポートです。</ns3:para>,item-33,CHARTOROWID\s*\(,TRUE,DBMS の変更,Middle,中,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,CHARTOROWID\s*\(,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,CHARTOROWID\s*\(
